4K测试,rtp://239.45.1.109:5140
新闻综合,rtp://239.45.3.209:5140
央广购物,rtp://239.45.0.35:5140
养生频道,rtp://239.45.1.28:5140
游戏风云,rtp://239.45.3.131:5140
云南卫视,rtp://239.45.0.4:5140
云南卫视,rtp://239.45.3.206:5140
浙江卫视,rtp://239.45.3.178:5140
直播上海白渡橋-HD,rtmp://live-ws.kksmg.com/live/webcam2
直播上海北外灘-HD,rtmp://live-ws.kksmg.com/live/webcam1
直播上海陸家嘴-HD,rtmp://live-ws.kksmg.com/live/sdi5
直播上海魔都眼-HD,rtmp://live-ws.kksmg.com/live/sdi6
直播上海中外灘-HD,rtmp://live-ws.kksmg.com/live/sdi4
中国天气,rtp://239.45.3.141:5140
BesTV,rtp://239.45.1.29:5140
BesTV4K电影,rtp://239.45.1.9:5140
BesTV4K电影,rtp://239.45.1.42:5140
BesTV4K电影,rtp://239.45.3.107:5140
BesTV4K动画,rtp://239.45.1.1:5140
BesTV4K动画,rtp://239.45.1.11:5140
BesTV4K纪录,rtp://239.45.1.10:5140
BesTV百视通,rtp://239.45.1.15:5140
BesTV百视通,rtp://239.45.3.157:5140
BesTV百视通,rtp://239.45.3.240:5140
BesTV体育,rtp://239.45.3.139:5140
BesTV体育,rtp://239.45.3.140:5140
BesTV直播1,rtp://239.45.3.53:5140
BesTV直播10,rtp://233.18.204.160:5140
BesTV直播2,rtp://239.45.3.54:5140
BesTV直播3,rtp://239.45.3.55:5140
BesTV直播4,rtp://239.45.3.137:5140
BesTV直播5,rtp://239.45.3.138:5140
BesTV直播8,rtp://239.45.3.215:5140
BesTV直播9,rtp://239.45.3.216:5140
CCTV-1,rtp://239.45.1.21:5140
CCTV-1,rtp://239.45.3.88:5140
CCTV-1,rtp://239.45.3.145:5140
CCTV-10,rtp://239.45.3.8:5140
CCTV-11,rtp://239.45.0.18:5140
CCTV-12,rtp://239.45.3.10:5140
CCTV-12,rtp://239.45.3.124:5140
CCTV-13,rtp://239.45.0.19:5140
CCTV-14,rtp://239.45.3.23:5140
CCTV-14,rtp://239.45.3.125:5140
CCTV-15,rtp://239.45.0.20:5140
CCTV-15,rtp://239.45.3.126:5140
CCTV-16,rtp://239.45.0.10:5140
CCTV-16 4K,rtp://239.45.0.12:5140
CCTV-17,rtp://239.45.3.52:5140
CCTV-17,rtp://239.45.3.251:5140
CCTV-2,rtp://239.45.0.1:5140
CCTV-2,rtp://239.45.3.208:5140
CCTV-3,rtp://239.45.1.68:5140
CCTV-4,rtp://239.45.0.2:5140
CCTV-4,rtp://239.45.0.21:5140
CCTV-5,rtp://239.45.1.69:5140
CCTV-5+,rtp://239.45.0.34:5140
CCTV-6,rtp://239.45.1.70:5140
CCTV-7,rtp://239.45.3.56:5140
CCTV-8,rtp://239.45.1.71:5140
CCTV-9,rtp://239.45.3.4:5140
CCTV4K,rtp://239.45.0.55:5140
CCTV4K,rtp://239.45.3.123:5140
CCTV兵器科技,rtp://239.45.0.45:5140
CCTV兵器科技,rtp://239.45.1.74:5140
CCTV第一剧场,rtp://239.45.0.51:5140
CCTV电视指南,rtp://239.45.1.73:5140
CCTV风云剧场,rtp://239.45.0.50:5140
CCTV风云音乐,rtp://239.45.0.52:5140
CCTV风云足球,rtp://239.45.0.43:5140
CCTV风云足球,rtp://239.45.1.75:5140
CCTV高尔夫网球,rtp://239.45.0.48:5140
CCTV高尔夫网球,rtp://239.45.1.72:5140
CCTV怀旧剧场,rtp://239.45.0.49:5140
CCTV女性时尚,rtp://239.45.0.47:5140
CCTV世界地理,rtp://239.45.0.46:5140
CCTV央视台球,rtp://239.45.0.44:5140
CCTV央视文化精品,rtp://239.45.0.53:5140
CCTV央视文化精品,rtp://239.45.1.17:5140
CETV-1,rtp://239.45.1.125:5140
CETV-4,rtp://239.45.1.243:5140
CETV早期教育,rtp://239.45.0.54:5140
CHC动作电影,rtp://239.45.0.41:5140
CHC家庭影院,rtp://239.45.0.40:5140
CHC影迷电影,rtp://239.45.0.42:5140
IPTV,rtp://239.45.3.103:5140
